date,day,kind,start_time,end_time,duration_minutes,session_title,focus,reference_url
12/1/2025,Monday,Training,9:00,9:45,45,Kickoff: Signature Sales Journey Overview,How the journey flows end-to-end; expectations; tone + consistency.,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf
12/2/2025,Tuesday,Training,9:00,9:45,45,Power Greetings - Objective + Scenario 1,"Parking/Walk-ins: first words, body language, and control without pressure.",https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=5
12/3/2025,Wednesday,Training,9:00,9:45,45,Power Greetings - Scenarios 2-3 (Roleplay),Wandering customers + Window crack; adapt quickly; 3 rep roleplays each.,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=7
12/4/2025,Thursday,Training,9:00,9:45,45,Weather-Proof Greetings + Transition to Discovery,All-seasons greetings; clean pivot to discovery/pre-appraisal.,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=9
12/5/2025,Friday,Training,9:00,9:45,45,Discovery Setup - With Trade + Core Questions,Trade-in language + discovery question flow; capture needs in CRM.,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=12
12/8/2025,Monday,Training,9:00,9:45,45,Discovery Setup - Without Trade + Key Questions,No-trade word-tracks; key questions that uncover motivations + timeline.,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=13
12/9/2025,Tuesday,Training,9:00,9:45,45,Advanced Discovery - Sales Approach,Connection-first approach; opening questions for preferences.,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=14
12/10/2025,Wednesday,Training,9:00,9:45,45,Advanced Discovery - Preferences + Comparison,Feature/package preferences; comparing alternatives; link to current vehicle.,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=17
12/11/2025,Thursday,Training,9:00,9:45,45,Explore Options - Online / Availability / Not in Stock,Guide guests from online view to in-stock options; market value framing.,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=19
12/12/2025,Friday,Training,9:00,9:45,45,Selection Strategy - Primary + Alternate,How to present primary/alternate; transition language; setting expectations.,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=20
12/15/2025,Monday,Training,9:00,9:45,45,Selection Strategy - When Ideal Unit is Unavailable,Offer alternatives; value-building transitional phrases; reinforce attentiveness.,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=21
12/16/2025,Tuesday,Training,9:00,9:45,45,Emotional Test Drive - Interior + Pre-Drive Setup,Set the frame; tailor features to needs; prep for confidence + comfort.,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=24
12/17/2025,Wednesday,Training,9:00,9:45,45,Emotional Test Drive - Drive Flow + Imagination,Switch driver positions; engage imagination; transition to final discussion.,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=26
12/18/2025,Thursday,Training,9:00,9:45,45,Hood Ornament - YES Path,Gauge excitement; close the commitment; set next steps with clarity.,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=27
12/19/2025,Friday,Training,9:00,9:45,45,Hood Ornament - NO/Not Yet + Obstacle Isolation,Uncover obstacle; validate & reframe; handle unit-not-in-stock process.,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=28
12/22/2025,Monday,Training,9:00,9:45,45,Objections + Word-Tracks,"Common objections, hesitations, first-stop + spousal consultation responses.",https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=29
12/23/2025,Tuesday,Training,9:00,9:45,45,The Art of Turns - When It Stalls / Wants to Leave / Proactive,Roleplay turns 1â€“3; manager assist timing; keep guest OK.,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=32
12/24/2025,Wednesday,Training,9:00,9:45,45,The Art of Turns - Manager/Business/Peer Turns,Roleplay turns 4â€“6; why it matters; smooth handoffs.,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=33
12/25/2025,Thursday,CLOSED,,,0,CLOSED - Christmas Day,No training (holiday closure).,
12/26/2025,Friday,Training,9:00,9:45,45,Dealership Tour + Introductions,Tour transitions; service/parts intros; facility highlights; purpose of tour.,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=35
12/29/2025,Monday,Training,9:00,9:45,45,Paperwork Process - Setup + Getting Numbers,Paperwork transitions; gather statement info; get numbers from desk.,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=39
12/30/2025,Tuesday,Training,9:00,9:45,45,Present Numbers + Written Commitment,Present numbers with/without trade; get commitment; basic objection handling.,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=40
12/31/2025,Wednesday,Training,9:00,9:45,45,"After the YES - Finance, Delivery, Follow-Up (Wrap-Up)",Handoff to finance; delivery experience; follow-up templates; standards for Jan.,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=44
