date,kind,start_time,end_time,session_title,focus,page,reference_url
12/1/2025,TRAINING,9:00 AM,9:45:00 AM,Power Greetings,"Objective + Scenarios 1–4 (walk-ins, wandering, window-crack, weather-proof)",5,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=5
12/2/2025,TRAINING,9:00 AM,9:45:00 AM,Transition to Discovery / Pre-Appraisal,Smooth transition language + setting up the next step,10,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=10
12/3/2025,TRAINING,9:00 AM,9:45:00 AM,Discovery (With Trade-In),Discovery questions + pre-appraisal flow,12,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=12
12/4/2025,TRAINING,9:00 AM,9:45:00 AM,Discovery (Without Trade-In),Key questions + shaping the roadmap,13,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=13
12/5/2025,TRAINING,9:00 AM,9:45:00 AM,Advanced Discovery / Building Connection,Build trust + needs clarity + aligned expectations,14,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=14
12/7/2025,TRAINING,9:00 AM,9:45:00 AM,Opening Questions To Understand Preferences,"Genuine interest, package preferences, comparisons, link to current vehicle",17,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=17
12/8/2025,TRAINING,9:00 AM,9:45:00 AM,Building On Preferences To Explore Options,Seen online / availability / market value / ideal not in stock messaging,19,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=19
12/9/2025,TRAINING,9:00 AM,9:45:00 AM,Selection & Alternate Selection Strategy,Primary + alternate selection + value transitions,20,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=20
12/10/2025,TRAINING,9:00 AM,9:45:00 AM,Emotional Test Drive,"Introduce interior, prepare, switch drivers, imagination prompts, transition back",23,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=23
12/11/2025,TRAINING,9:00 AM,9:45:00 AM,Hood Ornament -> Yes!,"Gauge excitement, close commitment, set next step",27,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=27
12/13/2025,TRAINING,9:00 AM,9:45:00 AM,Hood Ornament -> No (Not Yet),"Gauge interest, uncover obstacle, validate/reframe, process prep",28,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=28
12/14/2025,TRAINING,9:00 AM,9:45:00 AM,Common Objections & Word-Tracks,Hesitations + isolation + transition language,29,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=29
12/15/2025,TRAINING,9:00 AM,9:45:00 AM,The Art of Turns,"When stalled, leaving, proactive turn, manager turn, business turn",31,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=31
