id,parent_id,level,kind,page,title,slug,url
1,,0,root,,Cam Clark Sales Journey Script Guide,cam-clark-sales-journey-script-guide,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf
2,1,1,section,5,Power Greetings Scenario at Cam Clark Hyundai,power-greetings-scenario,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=5
3,2,2,subsection,5,Objective,objective,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=5
4,2,2,subsection,6,Scenario 1: Customer Parking / Walk-Ins,scenario-1-customer-parking-walk-ins,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=6
5,2,2,subsection,7,Scenario 2: Wandering Customers,scenario-2-wandering-customers,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=7
6,2,2,subsection,8,Scenario 3: Window Crack,scenario-3-window-crack,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=8
7,2,2,subsection,9,Scenario 4: Weather-Proof Adapting Greetings for All Seasons,scenario-4-weather-proof-greetings,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=9
8,1,1,section,10,Transition to Discovery / Pre-Appraisal,transition-to-discovery-pre-appraisal,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=10
9,8,2,subsection,11,Transition to Discovery / Pre-Appraisal (Detail),transition-to-discovery-pre-appraisal-detail,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=11
10,8,2,subsection,12,With Trade-In,with-trade-in,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=12
11,8,2,subsection,12,Discovery Questions,discovery-questions,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=12
12,8,2,subsection,13,Without Trade-In,without-trade-in,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=13
13,8,2,subsection,13,Explore These Key Questions,explore-these-key-questions,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=13
14,1,1,section,14,Advanced Discovery / Building Connection,advanced-discovery-building-connection,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=14
15,14,2,subsection,14,Sales Approach,sales-approach,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=14
16,14,2,subsection,17,Opening Questions To Understand Preferences,opening-questions-to-understand-preferences,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=17
17,14,2,subsection,17,Show Genuine Interest in Their Choice,show-genuine-interest,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=17
18,14,2,subsection,17,Feature & Package Preferences,feature-and-package-preferences,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=17
19,14,2,subsection,18,Alternative Vehicles & Comparison,alternative-vehicles-and-comparison,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=18
20,14,2,subsection,18,Linking to Their Current Vehicle,linking-to-current-vehicle,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=18
21,14,2,subsection,19,Building On Preferences To Explore Options,building-on-preferences-to-explore-options,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=19
22,14,2,subsection,19,If They've Seen a Specific Vehicle Online,if-theyve-seen-a-specific-vehicle-online,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=19
23,14,2,subsection,19,For Immediate Availability Options,for-immediate-availability-options,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=19
24,14,2,subsection,19,For Customers Open to Market Value,for-customers-open-to-market-value,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=19
25,14,2,subsection,19,If the Ideal Vehicle Isn't in Stock,if-the-ideal-vehicle-isnt-in-stock,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=19
